"state","account.length","international.plan","voice.mail.plan","number.vmail.messages","total.day.calls","total.day.charge","total.eve.calls","total.eve.charge","total.night.calls","total.night.charge","total.intl.calls","total.intl.charge","number.customer.service.calls","Churn"
"2",70,"1","1",0,110,39.15,87,6.62,105,11.12,4,3.56,1,"1"
"38",87,"1","2",22,102,40.94,106,6.45,115,10.11,3,1.92,2,"1"
"50",52,"1","2",21,119,33.27,95,9.03,94,7.08,3,1.43,2,"1"
"48",97,"1","1",0,82,46.94,106,17.09,73,10.41,4,2.4,0,"2"
"34",105,"1","1",0,93,28.24,106,14.95,55,10.96,3,4.37,2,"1"
"41",77,"1","2",28,117,23.1,102,20.78,74,9.34,3,3.11,4,"2"
"28",80,"2","1",0,122,32.15,92,18.97,116,12.11,3,3.75,2,"2"
"31",120,"1","2",43,117,30.24,70,14.88,117,7.26,4,3.11,1,"1"
"51",54,"1","2",39,73,24.46,117,17.88,117,5.81,8,3.38,2,"1"
"10",148,"2","1",0,138,25.19,123,13.57,62,8.88,3,2.32,2,"1"
"39",119,"1","1",0,115,48.81,99,13.54,86,9.76,1,3.75,2,"2"
"28",162,"1","2",26,144,30.55,129,18.54,105,9.55,8,2.51,1,"2"
"25",85,"1","1",0,96,28.19,141,16.15,116,6.48,3,2.94,5,"2"
"17",101,"1","2",25,144,24.5,105,14.25,107,10.8,3,3.92,1,"1"
"18",172,"1","1",0,85,29.33,71,21.51,113,9.97,6,1.59,0,"1"
"9",80,"1","1",0,138,33.97,91,14.2,94,12.23,4,1.49,1,"1"
"49",67,"1","1",0,134,18.55,76,12.1,86,4.1,5,2.94,2,"1"
"6",86,"1","1",0,106,29.21,44,25.64,108,6.27,5,2.62,1,"1"
"33",107,"1","1",0,101,37.79,111,24.31,117,11.22,4,3.27,1,"2"
"9",133,"1","1",0,102,41.79,90,22.5,103,5.03,7,3.02,0,"1"
"15",116,"1","1",0,110,27.98,103,23,109,10.37,3,2.16,0,"1"
"48",63,"1","1",0,107,35.99,77,23.09,108,9.15,7,2,0,"1"
"20",119,"2","2",16,103,25.02,96,13.61,120,8.28,2,2.08,0,"2"
"36",133,"2","1",0,103,43.3,80,21.44,103,8.01,3,2.16,0,"2"
"43",94,"2","1",0,113,28.92,94,23.1,78,4.98,4,2.35,1,"1"
"20",69,"1","1",0,91,33.17,57,22.23,90,9.17,5,3.08,0,"1"
"23",146,"1","1",0,83,25.38,130,15.9,100,6.74,4,2.13,7,"2"
"44",119,"1","1",0,75,13.92,114,21.57,125,9.59,1,2.4,2,"2"
"31",142,"2","2",25,109,32.49,120,12.72,60,10.25,3,2.65,0,"1"
"21",123,"1","1",0,115,35.17,86,19.07,60,8.88,2,2.24,3,"1"
"26",101,"1","1",0,156,40.63,106,23.21,93,12.52,8,3.65,1,"2"
"4",43,"1","1",0,97,30.48,126,21.48,114,10.24,5,2.16,0,"1"
"16",69,"1","1",0,91,31.5,88,18.62,107,10.96,5,1.49,0,"1"
"35",15,"2","1",0,80,24.04,76,10.53,88,14.56,3,2.19,2,"1"
"49",107,"1","2",25,91,42.26,115,10.14,83,8.74,1,3.24,1,"1"
"50",67,"1","1",0,131,25.93,107,21.45,104,8.34,3,1.32,2,"1"
"35",99,"1","1",0,102,24.75,87,19.63,86,8.17,7,3.08,1,"1"
"37",46,"1","1",0,116,27.91,153,16.68,119,10.62,1,2.19,1,"1"
"28",55,"2","1",0,115,37.57,97,14.06,117,10.59,4,2.62,1,"1"
"18",39,"1","1",0,126,50.22,117,19.73,123,9.2,2,3.11,1,"2"
"44",92,"1","1",0,98,23.77,143,14.87,135,9.07,7,2.54,2,"1"
"7",56,"1","1",0,99,27.59,78,12.67,115,11.5,1,4,4,"2"
"30",76,"1","1",0,97,46.36,95,20.09,105,10.6,2,2.08,0,"2"
"12",132,"2","2",33,75,34.05,67,19.26,91,8.95,3,3.48,2,"1"
"41",140,"1","2",28,77,26.71,97,14.65,94,8.3,9,3,1,"1"
"1",51,"2","2",12,60,23.09,134,17.05,98,8.66,7,3.32,2,"1"
"42",27,"1","1",0,110,40.24,92,19.71,85,7.41,6,3.43,1,"1"
"14",224,"1","1",0,133,18.94,66,14.88,106,9.77,6,1.49,3,"1"
"37",105,"2","2",28,89,26.54,114,9.1,95,7.55,3,3.97,0,"2"
"48",117,"1","1",0,93,32.49,56,24.04,118,3.82,4,3.24,2,"1"
"42",91,"1","1",0,123,26.01,127,11.99,76,7.72,15,2.78,1,"2"
"36",135,"1","1",0,123,37.2,64,20.64,80,3.86,3,2.78,4,"1"
"46",146,"1","1",0,101,34.92,77,11.47,83,13.97,2,2.78,3,"1"
"49",147,"2","1",0,111,38.28,98,15.72,146,6.44,1,2.67,0,"2"
"16",68,"1","1",0,127,42.48,118,21.63,98,12.29,6,2.4,2,"2"
"33",68,"1","1",0,89,22.37,109,11.65,107,11.53,5,2.75,3,"1"
"12",86,"1","2",21,99,33.64,100,14.08,120,9.36,9,2.73,0,"1"
"18",131,"1","1",0,129,28.31,107,17.87,93,11.57,5,2.67,1,"1"
"36",86,"1","2",29,79,38.32,112,15.9,112,12.65,3,3.48,1,"1"
"47",159,"1","1",0,103,46.89,108,16.11,93,10.08,5,2,2,"2"
"4",134,"1","2",40,105,24.29,61,7.53,96,13.05,6,2.92,1,"1"
"47",113,"1","1",0,113,35.22,80,21.76,87,9.49,1,2.67,1,"1"
"25",132,"1","1",0,100,35.05,118,17.95,122,8.83,6,2.75,1,"1"
"2",85,"1","1",0,66,35.75,76,16.64,82,9.97,7,3.02,1,"1"
"32",93,"2","2",38,117,38.37,122,10.17,125,8.69,7,3.78,1,"2"
"48",174,"1","2",33,91,28.53,91,17.45,132,5.85,4,3.92,4,"2"
"35",61,"1","1",0,118,33.61,96,12.94,93,9.95,3,1.89,2,"1"
"8",91,"1","2",39,105,28.87,116,5.54,92,6.5,4,2.94,1,"1"
"30",88,"1","2",28,104,32.4,105,20.17,116,9.52,1,2.65,2,"1"
"20",88,"1","2",45,140,13.65,101,13.03,123,13.91,3,3.46,2,"1"
"47",195,"1","2",36,110,39.39,88,19.13,89,9.08,2,3.27,0,"1"
"33",182,"1","1",0,114,11.75,109,19.58,96,11.55,4,1.76,0,"1"
"6",118,"1","1",0,60,32.1,64,18.48,100,9.9,7,2.21,4,"1"
"31",103,"1","1",0,125,25.6,126,14.37,104,9.95,8,2.81,8,"2"
"15",65,"1","1",0,89,32.64,88,11.86,102,8.43,4,1.49,2,"1"
"45",61,"1","2",25,78,27.83,112,9.62,118,6.03,3,2.67,3,"1"
"50",172,"1","1",0,100,35.99,101,16.89,136,13.58,9,1.76,1,"1"
"32",72,"1","1",0,103,29.84,120,11.25,96,10.93,3,3.19,1,"1"
"33",113,"1","1",0,120,25.52,85,17.01,105,12,3,2.97,2,"1"
"29",177,"1","1",0,99,32.22,117,14.99,112,10.17,2,3.83,1,"1"
"48",100,"1","1",0,94,12.04,102,18.33,125,10.39,1,2.57,6,"2"
"33",67,"1","1",0,102,36.64,95,16.21,106,9.65,6,2.32,1,"1"
"9",136,"1","1",0,105,17.29,99,17.24,119,6.13,6,2.54,3,"1"
"11",71,"1","1",0,132,43.93,119,10.78,87,8.21,8,2.62,4,"1"
"12",134,"1","1",0,126,41.21,115,13,115,14.32,6,3.19,1,"1"
"7",124,"1","1",0,82,22.41,119,24.17,101,13.75,2,3.05,1,"1"
"32",84,"1","1",0,102,32.33,141,16.8,102,11.14,6,2.65,2,"1"
"22",39,"1","1",0,104,26.2,112,17.36,92,8.83,4,2.65,2,"1"
"37",110,"1","1",0,127,31.96,118,7.69,64,6.76,3,4.13,3,"1"
"43",102,"1","1",0,70,17.53,129,23.38,92,6.35,5,3.02,1,"1"
"51",70,"1","1",0,130,29.82,130,13.56,96,11.73,4,3.13,0,"1"
"35",142,"1","1",0,93,24.72,98,17.77,96,9.63,1,2.94,1,"1"
"9",81,"2","1",0,85,42.6,50,15.97,131,5.41,5,2.11,1,"1"
"40",17,"1","1",0,123,27.46,81,18.21,106,14.18,5,2.32,1,"1"
"39",119,"1","1",0,101,44.22,68,21.8,89,10.31,2,2.7,1,"2"
"12",105,"1","1",0,124,47.82,96,25.63,109,9.13,3,2.35,0,"2"
"21",108,"2","2",42,90,22.12,128,14.2,80,11.01,5,3.67,3,"2"
"46",90,"1","1",0,118,17.34,134,9.63,105,8.49,3,3.08,2,"1"
"16",100,"1","2",33,104,37.18,144,13.18,117,4.46,4,3.27,1,"1"
"38",155,"1","2",30,86,21.85,91,16.01,85,11.45,6,1.84,1,"1"
"4",113,"1","1",0,100,21.88,67,19.3,135,8.01,4,2.48,2,"2"
"49",123,"1","1",0,92,29.27,76,13.82,101,11.26,4,2.35,1,"1"
"46",145,"1","1",0,124,33.86,86,10.71,135,13.01,3,2.05,1,"1"
"25",42,"1","1",0,98,31.37,93,17.04,91,12.56,3,2.38,2,"1"
"34",125,"1","1",0,99,28.66,107,14.93,92,10.95,7,2.94,0,"1"
"12",131,"1","2",30,118,29.58,81,17.45,90,9.82,3,1.81,1,"1"
"48",107,"1","1",0,65,39.17,80,21.88,88,4.83,3,2.3,1,"1"
"15",48,"1","1",0,73,33.69,115,17.24,73,6.59,5,1.38,1,"1"
"15",76,"1","1",0,96,31.64,100,17.99,100,10.38,4,2.16,0,"1"
"19",128,"1","1",0,105,25.25,106,20.66,114,11.48,2,1.84,1,"1"
"49",73,"1","1",0,109,26.71,83,22.85,91,8.17,8,2.7,0,"1"
"44",52,"1","1",0,110,26.35,104,11.34,84,7.92,4,1.89,4,"2"
"23",126,"2","2",26,123,21.98,114,15,102,6.95,7,2.59,1,"1"
"28",124,"1","1",0,77,32.05,123,15.47,127,9.82,6,1.65,1,"1"
"48",137,"1","1",0,120,35.5,100,19.15,130,9.97,5,3,0,"1"
"29",71,"1","1",0,82,40.46,94,23.67,134,8.69,10,3.19,0,"2"
"30",139,"1","1",0,103,35.89,108,17.59,70,8.73,4,1.51,0,"1"
"26",107,"1","2",30,87,33.81,90,17.6,76,7.19,4,3.4,3,"1"
"18",147,"1","1",0,79,36.18,91,17.35,113,7.03,2,2.75,1,"1"
"40",116,"1","1",0,126,23.36,94,10.2,64,5.86,2,3.35,3,"1"
"35",60,"1","2",31,75,32.61,135,22.76,62,9.02,3,3.46,2,"1"
"44",38,"1","1",0,92,25.33,78,4.18,93,7.35,11,3.75,0,"1"
"9",63,"1","1",0,118,19.91,90,21.22,84,7.3,4,3,3,"1"
"33",94,"1","1",0,79,18.36,152,20.56,92,11.34,3,2.81,3,"1"
"40",131,"1","1",0,133,19.18,116,16.95,105,6.42,5,2.73,0,"1"
"26",158,"1","1",0,105,29.9,88,16.01,98,8.47,6,2.97,1,"1"
"35",139,"1","1",0,109,40.22,107,14.44,118,9.55,2,3,1,"2"
"30",77,"1","1",0,102,28.8,144,15.72,89,10.54,7,0.54,1,"1"
"49",140,"1","1",0,79,22.03,99,20.93,124,7.74,10,2.54,3,"1"
"18",72,"1","1",0,97,30.11,105,15.7,94,7.83,6,2.16,1,"1"
"42",52,"1","2",20,63,22.66,123,15.65,107,12.28,2,3.65,1,"1"
"46",103,"1","1",0,121,28.53,123,18.1,73,9.37,3,3.51,5,"1"
"17",74,"1","2",32,107,29.68,115,26.4,92,10.56,4,2.43,1,"1"
"29",124,"1","1",0,101,25.55,112,21.75,62,6.15,4,3.38,2,"1"
"6",85,"1","2",21,110,48.14,108,20.37,80,6.73,1,1.7,5,"1"
"18",113,"1","2",20,83,26.83,56,13.73,100,12.22,2,2.35,5,"2"
"48",71,"1","1",0,132,24,90,12.67,72,7.71,2,1.89,2,"1"
"34",177,"1","2",27,106,39.13,78,16.67,108,9.69,2,2.81,1,"1"
"41",49,"2","1",0,92,40.43,119,17.76,86,7.55,6,4.21,2,"2"
"40",106,"2","1",0,84,34.68,61,14.32,102,7.38,3,3.59,3,"2"
"14",60,"1","1",0,106,37.59,48,15.18,90,9.12,3,2,1,"1"
"18",43,"1","1",0,93,30.12,60,12.12,144,14.13,2,3.43,4,"1"
"22",66,"1","1",0,133,20.06,99,21.09,122,9.65,5,1.43,1,"1"
"42",125,"1","1",0,73,27.85,85,21.73,95,8.68,4,4.24,0,"1"
"41",114,"1","2",4,96,24.02,88,19.58,85,10.07,3,2.54,3,"1"
"43",112,"1","1",0,119,46.33,94,19.22,94,7.16,5,4.43,3,"2"
"27",101,"1","2",16,112,20.21,97,19.41,111,8.1,5,2.21,2,"1"
"49",70,"1","1",0,100,1.34,83,11.59,89,7.05,1,3.27,0,"1"
"1",59,"1","1",0,96,27.12,123,14.21,106,6.24,4,2.75,0,"1"
"4",59,"1","1",0,70,25.53,98,15.78,128,9.56,2,3.27,1,"1"
"27",124,"1","2",30,35,24.57,101,22.3,82,10.19,7,3.24,2,"1"
"9",99,"1","1",0,88,23.92,98,17.93,125,10.35,4,3.35,2,"1"
"46",150,"1","1",0,123,28.76,83,18.43,107,8.07,3,3.4,1,"1"
"20",81,"1","1",0,77,37.54,87,12.62,100,8.28,3,2.05,2,"1"
"16",86,"1","1",0,96,36.77,77,22.64,110,9.63,3,1.22,0,"1"
"21",84,"1","1",0,96,28.82,94,13.4,70,4.42,7,2.86,0,"1"
"34",118,"1","2",35,119,43.57,91,21.94,130,9.7,1,3.16,1,"1"
"6",89,"1","1",0,128,30.55,92,25.48,120,8.34,3,2.05,1,"1"
"17",93,"1","1",0,120,45.22,84,11.06,63,7.46,6,3.54,3,"1"
"3",85,"1","1",0,97,16.44,95,16.47,88,7.73,3,2.62,2,"1"
"51",160,"1","1",0,116,14.06,95,16.54,54,7.15,9,2.94,0,"1"
"39",28,"1","1",0,87,28.59,92,13.74,112,8.66,3,2.73,3,"1"
"44",73,"1","1",0,109,48.69,67,15.15,152,9.64,14,2.89,1,"2"
"35",156,"1","1",0,95,29.63,128,15.86,105,11.62,5,3.48,3,"1"
"38",33,"2","1",0,100,32.4,104,13.74,136,8.55,6,3.51,1,"1"
"5",77,"1","1",0,86,29.84,78,17.43,100,11.03,3,4.81,4,"1"
"35",119,"1","1",0,102,22.68,71,17.39,103,8.86,7,3,1,"1"
"3",91,"1","2",27,96,34.78,93,11.56,82,9.47,2,1.78,3,"1"
"23",102,"1","1",0,88,41.17,89,19.82,121,8.48,6,1.67,3,"1"
"37",86,"1","2",33,112,43.03,94,17.86,98,4.27,4,3.21,3,"1"
"44",82,"1","1",0,110,22.1,88,15.75,105,8.04,4,2.24,0,"1"
"28",89,"1","1",0,151,18,142,16.12,67,7.69,7,3.43,0,"1"
"14",86,"1","1",0,98,33.01,95,16.47,123,8.64,7,2.51,3,"1"
"15",134,"1","1",0,111,31.25,92,10.5,105,7.23,2,1.65,1,"1"
"38",92,"1","1",0,82,33.41,89,16.15,99,7.34,2,2.92,2,"1"
"42",87,"1","1",0,81,31.37,103,14.62,96,8.25,3,3.7,3,"1"
"30",64,"1","1",0,113,44.52,99,12.59,74,6.53,4,3.73,0,"1"
"40",80,"1","1",0,118,34.41,67,22.12,112,7.98,5,2.48,3,"1"
"21",165,"1","2",39,113,28.46,94,14.68,113,8.67,4,2.57,3,"1"
"14",153,"1","2",22,104,28.51,91,20.98,117,9.18,11,2.03,1,"1"
"22",41,"1","2",30,109,32.59,86,16.41,93,6.72,4,3,1,"1"
"42",108,"1","1",0,78,40.83,109,19.58,83,9.76,1,1.4,2,"1"
"35",104,"1","2",26,112,32.15,97,15.15,104,8.97,4,3,1,"1"
"9",115,"1","1",0,67,21.71,90,15.55,92,7.78,7,2.86,1,"1"
"37",87,"1","1",0,106,34.88,122,8.46,75,8.53,3,3.62,1,"1"
"41",159,"1","2",23,93,26.11,88,18.44,91,7.26,3,3.4,2,"1"
"16",119,"1","1",0,129,26.27,87,16.46,145,8.14,3,3.62,2,"1"
"34",69,"1","1",0,109,26.13,105,16.49,114,11.52,6,3.81,1,"1"
"15",87,"2","2",36,138,29.1,102,15.79,97,10.24,3,2.92,1,"1"
"42",93,"1","1",0,106,55.78,89,12.89,114,13.66,3,2.35,1,"2"
"37",154,"2","1",0,69,24.8,141,17.7,106,8.14,10,3.89,0,"2"
"17",57,"1","2",37,76,34.2,122,23.81,110,6.94,1,3.19,1,"1"
"13",130,"1","1",0,72,23.65,112,20.91,121,9.32,9,3.08,5,"1"
"32",151,"1","1",0,128,20.21,65,23.66,61,8.77,10,3.56,2,"1"
"32",162,"1","1",0,87,36.99,71,23.72,65,11.28,4,2.81,2,"2"
"27",60,"1","1",0,133,24.65,92,17.77,112,14.78,2,3.94,1,"1"
"13",81,"1","1",0,89,34.6,69,24.62,71,9.58,3,2.35,3,"1"
"48",132,"1","1",0,115,40.82,91,15.33,122,6,6,2.16,3,"1"
"30",86,"1","1",0,121,14.25,96,20.42,108,7.14,8,1.81,1,"1"
"44",136,"1","1",0,106,45.87,101,19.45,106,11.59,8,2.73,1,"2"
"26",121,"1","2",21,84,21.47,102,17.82,129,8.66,2,2.86,1,"1"
"13",105,"1","2",15,125,14.98,142,14.95,85,12.15,1,2.62,2,"1"
"49",105,"1","2",34,61,37.15,74,16.72,103,6.8,4,2.67,2,"1"
"27",51,"1","2",26,61,40.26,97,22.39,91,8.15,8,3.02,1,"1"
"11",64,"1","1",0,117,21.1,108,16.39,84,7.33,5,1.73,3,"1"
"27",80,"2","2",30,132,31.31,109,14.24,114,9.58,10,2.7,0,"1"
"29",56,"1","1",0,133,37.86,89,23.55,94,4.58,4,3.67,4,"1"
"47",120,"1","1",0,98,25.36,88,16.46,119,11.2,5,3,1,"1"
"42",103,"1","1",0,125,35.11,113,15.32,95,9.93,4,3.29,3,"1"
"36",164,"1","2",27,102,27.15,113,14.35,127,10.98,9,2.59,3,"1"
"36",116,"1","2",27,118,34.8,91,17.8,67,9.58,2,1.89,2,"1"
"27",121,"1","1",0,79,36.24,116,10.26,102,11,4,2.03,1,"1"
"15",55,"2","1",0,121,45.83,91,14.59,98,9.86,6,2.21,1,"1"
"34",183,"1","1",0,92,19.84,112,18.17,112,9.64,6,2.62,2,"1"
"45",104,"1","1",0,101,44.78,117,20.02,146,4.59,4,3.51,0,"1"
"31",90,"1","1",0,97,23.83,102,18.18,126,5.4,2,1.92,1,"1"
"19",82,"1","1",0,101,33.61,83,10.85,103,6.39,3,3.65,1,"1"
"47",101,"1","1",0,92,23.15,110,18.78,116,8.86,7,3.59,3,"1"
"35",9,"1","2",16,87,15.05,108,15.2,96,10.29,3,3.11,2,"1"
"7",97,"1","1",0,58,36.6,91,20.6,105,12.59,9,3.27,0,"1"
"17",94,"1","1",0,104,45.76,144,16.47,61,11.59,2,2.4,3,"2"
"23",127,"1","2",25,118,34.65,48,22.7,105,10.13,5,1.97,0,"1"
"42",125,"1","2",34,112,45.63,108,18.89,102,5.29,3,2.78,0,"1"
"22",140,"1","1",0,104,27.05,106,22.93,116,9.92,4,2.78,1,"1"
"21",90,"1","1",0,122,19.45,154,10.85,109,11.39,5,2.73,2,"1"
"46",67,"1","1",0,65,23.61,109,17.76,82,10.46,3,2.48,2,"1"
"32",113,"1","1",0,55,31.62,105,20.18,83,6.66,6,3.29,1,"1"
"43",121,"1","2",26,91,28.97,90,21.63,122,9.88,5,4.08,0,"1"
"8",93,"1","1",0,95,27.97,87,19.63,91,6.75,3,2.67,4,"1"
"8",121,"1","1",0,121,28.66,94,14.33,59,4.29,4,3.32,1,"1"
"38",53,"1","1",0,119,44.4,105,21.32,112,7.92,2,2.65,0,"2"
"40",75,"1","1",0,91,32.39,75,15.16,113,7.31,5,3.54,1,"1"
"1",132,"1","1",0,121,30.79,109,26.72,81,11.1,9,1.13,2,"1"
"49",162,"1","1",0,131,30.11,122,9.75,88,6.91,6,1.76,3,"1"
"16",140,"1","1",0,114,27.29,103,20.44,121,10.51,4,3.05,1,"1"
"23",91,"1","1",0,116,22.9,98,25.1,121,8.8,5,1.78,2,"1"
"14",73,"1","2",28,107,33.69,123,11.82,139,8.96,1,2.38,2,"1"
"31",95,"2","1",0,134,38.91,71,21.73,120,9.36,2,2.73,4,"2"
"24",145,"1","1",0,137,41.09,100,11.54,123,12.49,3,3.54,0,"1"
"4",100,"1","1",0,108,22.29,81,14.98,81,4.04,4,1.16,1,"1"
"24",122,"1","1",0,101,39.8,121,17.02,89,10.68,9,3.54,2,"1"
"25",109,"1","1",0,72,34.02,120,25.58,68,10.62,5,3.21,0,"1"
"2",82,"1","1",0,107,26.18,114,8.02,95,12.94,7,2.73,1,"1"
"39",65,"1","2",23,106,38.11,100,16.12,75,10.03,4,2.65,0,"1"
"1",52,"1","1",0,83,25.21,79,15.44,104,7,6,2.24,3,"1"
"26",136,"1","2",24,76,29.68,114,15.01,91,9.65,5,2.38,2,"1"
"13",75,"1","1",0,110,23.55,86,13.02,103,9.7,7,3,1,"1"
"51",146,"1","1",0,69,18.53,98,22.59,80,10.27,2,3.4,1,"1"
"30",105,"1","1",0,99,27.59,95,18.06,114,9.66,8,3,4,"1"
"29",48,"1","1",0,84,35.84,98,16.12,99,7.09,3,4.43,2,"1"
"7",45,"1","1",0,107,24.21,78,27.09,108,10.08,7,3,1,"1"
"28",106,"1","2",37,104,38,99,19.98,90,6.3,5,2.86,2,"1"
"7",33,"1","1",0,65,31.03,96,19.73,82,6.71,2,2.03,2,"1"
"29",68,"1","1",0,97,37.33,144,11.99,101,9.26,4,2.92,2,"1"
"48",106,"1","1",0,66,32.91,82,20.25,107,7.94,3,3.48,0,"1"
"34",141,"1","1",0,111,32.71,87,13.34,82,7.91,6,2.97,0,"1"
"6",98,"1","1",0,122,40.15,110,16.1,104,6.91,4,3.59,0,"1"
"17",94,"1","2",28,88,39.64,102,9.63,71,5.31,4,4.35,0,"1"
"6",65,"1","1",0,53,27,132,16.02,87,8.52,4,2.65,2,"1"
"25",85,"1","1",0,112,21.44,126,23.35,95,8.3,4,2.65,1,"1"
"20",71,"1","1",0,108,49.37,92,21.58,126,11.85,5,2.73,3,"2"
"35",112,"1","2",30,113,10.3,96,14.1,99,5.98,7,3.59,0,"1"
"1",110,"1","1",0,95,25.23,98,16.47,106,9.27,6,1.86,0,"1"
"49",111,"1","1",0,108,41.91,89,18.39,99,8.08,3,3.43,2,"1"
"31",74,"1","1",0,112,50.68,100,17.11,88,9.66,4,2.62,2,"2"
"43",105,"1","1",0,82,20.28,111,15.73,74,7.07,4,2.94,2,"1"
"35",40,"1","1",0,82,41.23,97,19.8,86,6.93,7,2.59,0,"1"
"11",128,"2","2",18,89,37.76,109,13.65,102,9.85,2,3.67,0,"2"
"24",123,"1","1",0,135,40.15,88,23.28,77,10.22,6,2.73,2,"2"
"23",122,"1","1",0,87,24.51,74,18.04,87,7.62,4,2.57,0,"1"
"14",114,"1","2",19,100,26.28,109,20.54,112,7.2,1,3.4,3,"1"
"7",102,"1","2",25,100,23.36,83,15.02,93,8.47,6,2.75,2,"1"
"28",126,"1","1",0,93,17.63,107,10.8,66,14.82,1,3.89,0,"1"
"19",150,"1","1",0,112,23.22,81,17.8,78,7.25,2,3.29,4,"2"
"32",60,"1","1",0,101,49.27,115,21.73,76,10.93,4,3.16,2,"2"
"44",123,"1","1",0,85,44.35,103,14.32,91,8.02,5,3.59,3,"1"
"5",138,"2","1",0,129,33.35,86,15,108,10.46,1,4.1,0,"2"
"21",29,"1","1",0,71,33.25,74,10.74,87,6.69,4,3.83,1,"1"
"51",111,"1","1",0,96,37.77,111,13.81,120,8.32,7,3.21,4,"1"
"44",37,"2","1",0,119,29.39,86,15.56,100,10.19,1,2.65,0,"2"
"5",111,"1","1",0,109,42.47,106,20.6,78,10.43,4,3.13,0,"2"
"45",81,"1","1",0,84,26.27,91,18.38,82,10.34,3,3.7,1,"1"
"48",46,"1","1",0,108,15.37,77,23.48,111,6.59,2,3.43,1,"1"
"26",69,"1","2",27,78,45.7,89,20.96,102,12.24,3,4.43,0,"1"
"36",125,"1","1",0,95,18.04,113,13.4,69,8.66,3,2.19,1,"1"
"17",43,"1","1",0,117,4.59,97,13.68,96,12.58,3,2.89,3,"1"
"40",127,"1","2",27,59,23.82,111,18.99,73,11.61,10,1.03,1,"1"
"16",94,"1","1",0,112,41.65,91,15.33,105,11.83,6,2.62,1,"1"
"47",46,"1","1",0,85,33.44,74,17.5,112,9.75,5,3.02,3,"1"
"27",73,"1","2",26,98,22.3,97,9.05,96,9.98,6,2.75,2,"1"
"7",146,"1","2",23,96,25.43,124,20.38,135,13.21,4,2,2,"1"
"33",93,"1","1",0,70,40.77,99,21.4,112,7.59,10,2.94,1,"1"
"36",52,"1","2",31,77,24.16,97,16.41,88,11.4,4,2.97,1,"1"
"11",202,"1","1",0,137,19.62,70,15.19,113,8.36,3,1.62,3,"1"
"24",129,"1","2",31,99,32.81,87,19.11,91,8.89,8,2.78,2,"1"
"7",94,"1","1",0,49,35.04,115,19.09,74,11.55,1,3.51,1,"1"
"2",100,"1","1",0,138,27.25,92,18.81,120,6.77,2,3.02,0,"1"
"50",43,"1","1",0,108,33.98,80,24.51,103,8.13,7,3.05,1,"1"
"31",130,"1","1",0,105,36.23,108,17.53,93,7.35,3,2.4,0,"1"
"51",124,"1","1",0,102,30.31,120,19.98,119,10.79,1,2.94,3,"1"
"46",92,"2","1",0,120,42.89,112,17.6,95,12.81,5,3.24,3,"2"
"47",48,"1","1",0,64,33.61,126,11.62,81,11,5,3.56,4,"1"
"36",98,"1","2",29,105,18.89,101,18.52,108,11.16,3,1.78,2,"1"
"27",100,"1","1",0,86,16.41,133,17.87,106,6.59,3,3.38,1,"2"
"20",79,"1","1",0,109,26.67,87,10.39,103,8.51,5,3.05,3,"1"
"46",164,"1","1",0,78,20.96,85,14.45,78,7.47,2,3.43,1,"1"
"33",105,"1","1",0,108,32.93,124,15.57,72,13.22,5,2.92,1,"1"
"3",89,"2","1",0,134,35.17,105,14.25,86,7.01,4,2.94,0,"1"
"30",126,"1","1",0,96,42.47,92,22.26,108,7.51,4,3.43,3,"2"
"51",96,"1","1",0,102,24.48,73,19.1,91,10.25,7,2.7,1,"1"
"13",120,"1","2",33,83,50.92,84,13.89,88,6.6,5,3.13,0,"1"
"41",212,"1","1",0,127,38.42,83,25.89,132,8.15,4,3.4,2,"2"
"28",72,"1","1",0,106,23.39,94,12.2,110,12.32,6,2.59,2,"1"
"12",155,"2","2",26,121,35.99,123,11.83,89,6.6,3,3,1,"1"
"45",89,"1","1",0,80,15.25,81,15.28,120,6.56,4,2.57,2,"1"
"51",126,"2","1",0,126,33.59,112,20.95,104,12.84,8,3.38,2,"1"
"2",172,"1","1",0,102,45.9,111,21.81,104,7.58,5,3.24,2,"2"
"46",75,"1","1",0,116,38.2,79,16.32,98,9.55,11,3.05,3,"1"
"49",143,"1","1",0,99,33.03,133,10.51,99,10.33,2,2.75,2,"1"
"10",166,"2","1",0,89,8.11,95,22.47,97,10.58,3,3.56,0,"2"
"17",132,"1","1",0,105,32.32,116,15.49,105,12.59,2,3.51,1,"1"
"34",94,"2","1",0,94,15.22,106,28.89,76,7.78,1,2.13,1,"2"
"35",99,"1","1",0,83,31.04,111,13.13,57,8.82,5,3.27,0,"1"
"46",136,"1","2",35,86,34.94,119,25.37,104,9.64,4,1.86,1,"1"
"17",119,"1","1",0,82,39.36,97,22.69,118,9.49,10,2,1,"1"
"28",115,"2","1",0,69,42.72,96,21.46,112,5.32,1,2.67,3,"2"
"25",160,"1","1",0,103,29.1,121,20.7,92,8.02,3,3.51,2,"1"
"29",166,"1","1",0,89,33.64,113,21.34,85,6.22,2,3.02,2,"1"
"5",120,"1","1",0,94,22.92,106,17.35,109,10.73,8,1.81,1,"1"
"50",173,"1","1",0,114,32.54,138,14.32,99,4.92,3,2.78,1,"1"
"15",156,"1","1",0,65,29.67,116,16.78,86,10.73,2,2.86,0,"1"
"35",70,"1","1",0,125,30.16,104,19.23,72,11.43,4,2.94,0,"1"
